Countries,Year,Primary_enrollment
Togo,2005,996.707
Bhutan,2005,99.458
Bhutan,2015,99.291
Guyana,2010,99.241
China,2013,98870.82
Jordan,2014,979.792
Romania,2005,970.295
Solomon Islands,2012,97.547
China,2015,95958.04
Kazakhstan,2010,957.919
Egypt,2005,9563.63
China,2014,95107.12
Solomon Islands,2010,95.379
Romania,2015,947.205
Nicaragua,2005,945.089
Guyana,2012,94.488
Bhutan,2017,94.184
El Salvador,2010,939.726
Romania,2016,939.147
Paraguay,2005,933.995
United Rep. of Tanzania,2017,9315.66
Equatorial Guinea,2015,93.396
Slovenia,2005,93.156
Nicaragua,2010,923.745
Nicaragua,2002,923.391
Mauritius,2017,92.989
Equatorial Guinea,2012,92.029
Israel,2017,917.118
Lao People's Dem. Rep.,2010,916.341
Antigua and Barbuda,2017,9.946
Aruba,2010,9.858
Aruba,2014,9.816
Dominica,2005,9.441
Seychelles,2005,9.204
Seychelles,2017,9.037
Cuba,2005,895.045
Lao People's Dem. Rep.,2005,890.821
Bahrain,2006,89.721
Uganda,2017,8840.59
Israel,2015,883.706
Qatar,2010,88.723
Lao People's Dem. Rep.,2014,870.893
United Rep. of Tanzania,2016,8638.57
Israel,2014,861.699
Cuba,2010,852.744
Lao People's Dem. Rep.,2015,850.466
Estonia,2005,85.539
Equatorial Guinea,2010,85.061
Jordan,2012,849.39
Uganda,2013,8459.34
Romania,2010,842.238
United Rep. of Tanzania,2010,8419.31
Latvia,2005,84.369
Paraguay,2010,839.291
Paraguay,2012,838.198
Uganda,2010,8374.65
Bahrain,2005,83.299
United Rep. of Tanzania,2015,8298.28
Kenya,2016,8290.45
Uganda,2015,8264.32
Sweden,2016,826.685
United Rep. of Tanzania,2013,8231.91
United Rep. of Tanzania,2014,8222.67
Cabo Verde,2005,82.985
Estonia,2016,82.824
Jordan,2010,819.601
Iran (Islamic Republic of),2017,8171.67
Kenya,2015,8168.71
Kenya,2014,8158
Central African Republic,2016,813.767
Lao People's Dem. Rep.,2017,808.705
Israel,2010,807.424
Romania,2012,807.047
Jordan,2005,804.904
Iran (Islamic Republic of),2016,8006.28
Seychelles,2015,8.974
Aruba,2012,8.888
Seychelles,2014,8.812
Marshall Islands,2002,8.757
Seychelles,2010,8.67
Marshall Islands,2011,8.546
Marshall Islands,2009,8.398
Marshall Islands,2015,8.236
Dominica,2010,8.138
Marshall Islands,2005,8.055
Jordan,2004,799.888
Belgium,2016,797.39
Egypt,2004,7928.38
Sweden,2015,791.893
Estonia,2015,79.594
Israel,2009,786.094
Belgium,2015,782.606
Viet Nam,2017,7801.56
Viet Nam,2016,7790.01
Viet Nam,2005,7773.48
El Salvador,2014,777.043
Belgium,2014,773.568
Cuba,2013,772.023
Tajikistan,2017,771.04
Estonia,2014,77.215
Iran (Islamic Republic of),2015,7670.18
Cuba,2014,763.364
Sweden,2014,757.164
South Africa,2016,7569.92
South Africa,2015,7555.84
Libya,2006,755.338
Viet Nam,2015,7543.63
United Rep. of Tanzania,2005,7541.21
Uganda,2007,7537.97
Portugal,2005,752.739
Equatorial Guinea,2005,75.809
Solomon Islands,2005,75.082
Cuba,2015,745.733
Iran (Islamic Republic of),2014,7441.08
Viet Nam,2014,7434.85
El Salvador,2015,741.394
Libya,2003,739.028
Belgium,2005,738.58
Uganda,2004,7377.29
Congo,2012,734.493
Cuba,2017,733.77
Portugal,2010,733.515
South Africa,2005,7314.45
Belgium,2010,731.761
Equatorial Guinea,2000,73.377
Paraguay,2016,727.363
Uganda,2005,7223.88
Israel,2005,721.999
Estonia,2010,72.955
South Africa,2014,7195.18
Kenya,2009,7150.26
Libya,2005,713.902
Suriname,2015,71.921
Cabo Verde,2010,71.134
Congo,2010,705.093
South Africa,2010,7024.37
Suriname,2010,70.981
Suriname,2014,70.492
Marshall Islands,2016,7.941
Dominica,2014,7.695
Dominica,2015,7.535
Dominica,2016,7.323
Liberia,2016,694.481
Tajikistan,2005,693.078
Viet Nam,2010,6922.62
Qatar,2005,69.991
Liberia,2015,684.404
Liberia,2014,683.977
Tajikistan,2015,683.162
Tajikistan,2010,682.09
Suriname,2017,68.612
El Salvador,2017,678.137
Portugal,2014,674.038
Japan,2014,6714.54
Congo,2009,671.683
Cabo Verde,2014,67.023
Turkey,2005,6678.27
Tajikistan,2013,664.93
Japan,2015,6638.17
Turkey,2010,6635.16
Tajikistan,2014,662.427
Central African Republic,2012,662.317
Maldives,2003,66.169
Japan,2016,6581.95
Sweden,2005,658.461
Portugal,2015,656.727
Greece,2005,650.242
Cabo Verde,2015,65.58
Suriname,2005,65.527
Greece,2016,646.577
Greece,2015,643.762
Greece,2010,642.639
Djibouti,2014,64.319
Suriname,2002,64.023
Portugal,2016,638.883
Central African Republic,2010,636.871
Afghanistan,2017,6358.78
Afghanistan,2015,6333.7
Mauritania,2015,632.761
Cabo Verde,2017,63.582
Maldives,2004,63.3
Greece,2014,628.753
Mauritania,2017,627.085
Afghanistan,2014,6217.76
Iran (Islamic Republic of),2005,6206.72
Djibouti,2018,62.979
Djibouti,2015,62.94
Russian Federation,2016,6198.78
Mozambique,2017,6138.52
Cyprus,2005,61.247
Central African Republic,2009,608.075
Kenya,2005,6075.71
Azerbaijan,2017,607.391
Liberia,2009,605.236
Papua New Guinea,2008,600.557
Djibouti,2011,60.992
Saint Kitts and Nevis,2008,6.474
Saint Kitts and Nevis,2005,6.35
Saint Kitts and Nevis,2010,6.255
Russian Federation,2015,5982.57
Thailand,2005,5974.62
Congo,2005,597.304
Mauritania,2014,592.249
Mozambique,2015,5902
Congo,2004,584.37
Sweden,2010,576.11
Russian Federation,2014,5725.53
Mozambique,2014,5705.34
Maldives,2005,57.873
Mauritania,2013,568.953
Azerbaijan,2005,568.097
Iran (Islamic Republic of),2010,5629.59
Angola,2015,5620.92
Costa Rica,2004,558.084
Turkey,2014,5574.92
Czechia,2016,557.455
Sierra Leone,2001,554.308
Ireland,2016,553.585
Azerbaijan,2015,551.118
Djibouti,2009,55.546
Dem. Rep. of the Congo,2002,5455.39
Ireland,2015,544.856
Turkey,2015,5434.15
Costa Rica,2005,542.087
Cyprus,2010,54.806
Myanmar,2017,5388.35
Turkey,2016,5360.7
Ireland,2014,536.471
Czechia,2015,534.932
Papua New Guinea,2005,531.759
Mauritania,2010,531.383
Russian Federation,2005,5308.61
Cyprus,2015,53.773
Cyprus,2014,53.129
Colombia,2005,5298.26
Afghanistan,2010,5279.33
Mozambique,2010,5277.87
Switzerland,2005,524.222
Costa Rica,2010,520.609
Belize,2010,52.65
Belize,2015,52.072
Thailand,2014,5182.35
Myanmar,2014,5177.28
Azerbaijan,2014,517.708
Thailand,2010,5146.54
Myanmar,2010,5125.94
Czechia,2014,510.613
Belize,2014,51.978
Belize,2017,51.512
Congo,2003,509.507
Colombia,2010,5084.97
Thailand,2015,5081.08
Thailand,2016,5063.49
Ireland,2010,506.4
Angola,2011,5026.8
Czechia,2005,502.831
Lebanon,2017,502.505
Russian Federation,2009,5015.31
Myanmar,2007,5013.58
Kyrgyzstan,2017,501.011
Djibouti,2005,50.651
Belize,2005,50.247
Saint Kitts and Nevis,2014,5.533
Saint Kitts and Nevis,2015,5.466
Saint Kitts and Nevis,2016,5.452
Switzerland,2016,498.338
Liberia,2000,496.253
Thailand,2017,4952.69
Myanmar,2005,4948.2
Argentina,2010,4947.11
Afghanistan,2009,4945.63
Switzerland,2010,492.508
Lebanon,2015,491.455
Nepal,2010,4900.67
Switzerland,2015,490.469
Sudan,2017,4899.66
Argentina,2005,4872.89
Iraq,2007,4864.35
Switzerland,2014,483.9
Switzerland,2013,483.707
Azerbaijan,2010,481.551
Lebanon,2014,480.923
Argentina,2015,4784.45
Myanmar,2001,4781.54
Argentina,2014,4780.11
Argentina,2016,4775.78
State of Palestine,2017,477.204
Madagascar,2015,4763.52
Namibia,2017,476.36
Lebanon,2005,475.798
Costa Rica,2016,475.756
Costa Rica,2014,475.731
Sudan [former],2009,4744.47
United Kingdom,2014,4737.07
Madagascar,2016,4733.73
Costa Rica,2015,473.447
United Kingdom,2016,4721.65
Denmark,2016,471.787
Maldives,2008,47.082
Denmark,2015,468.536
United Arab Emirates,2016,467.723
Denmark,2014,467.484
United Kingdom,2005,4634.99
Czechia,2010,463.357
United Kingdom,2015,4617.32
Madagascar,2014,4610.72
Lebanon,2010,461.719
United Arab Emirates,2015,460.975
Brunei Darussalam,2005,46.012
Central African Republic,2001,458.585
Nepal,2013,4576.69
Somalia,2007,457.132
Colombia,2014,4542.64
Ireland,2005,454.06
Sudan,2015,4518.42
Kyrgyzstan,2015,451.212
"China, Hong Kong SAR",2005,451.171
State of Palestine,2015,450.182
Vanuatu,2015,45.931
Maldives,2017,45.326
Cameroon,2016,4481.24
Colombia,2015,4479.22
Norway,2017,444.638
Malawi,2017,4433.98
Afghanistan,2004,4430.14
