Country,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,14.89786,18.90071,no data,20.7888,19.0362,21.53726,22.14366,21.74546,20.63408,21.87459,19.61272,22.85499,21.36655,no data
Afghanistan,AFG,no data,no data,no data,no data,no data,no data,17.06756,16.04843,10.3568,14.1028,14.46593,12.509,16.2117,15.66138
Angola,AGO,no data,7.99235,7.45479,no data,no data,no data,8.68477,no data,no data,no data,no data,no data,no data,no data
Albania,ALB,10.70316,11.35797,10.93295,11.17719,no data,no data,no data,no data,no data,12.12391,no data,11.3177,13.59696,no data
Andorra,AND,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.04025,9.9616,10.17952,9.66894,18.95694
Arab World,ARB,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
United Arab Emirates,ARE,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Argentina,ARG,15.13944,15.80361,15.51,15.10436,15.74789,16.02104,15.04833,15.15894,14.51861,14.45832,13.79967,13.96343,13.37615,13.26629
Armenia,ARM,no data,13.64809,13.57852,13.46559,14.26845,13.45122,12.40051,12.59334,12.36897,11.13676,9.36712,10.65636,10.1972,10.40313
American Samoa,ASM,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Antigua and Barbuda,ATG,no data,no data,no data,no data,no data,6.92814,no data,no data,no data,no data,no data,no data,no data,no data
Australia,AUS,no data,13.58513,13.1782,13.03027,12.59972,13.41502,14.3276,13.50202,13.18372,14.04024,13.88295,14.0758,13.76601,no data
Austria,AUT,9.87333,10.26185,10.37458,10.45229,10.55515,10.58393,10.78913,10.98849,10.70118,10.74029,10.41116,10.69348,10.95385,no data
Azerbaijan,AZE,14.23504,13.22315,10.10042,9.77937,7.76384,9.34393,8.70084,7.21986,5.64367,6.46413,7.23873,7.6311,8.2069,6.94818
Burundi,BDI,9.17908,10.95927,no data,no data,12.61554,16.30169,16.5881,14.9793,16.42832,17.24326,19.68831,24.21655,20.9095,20.40137
Belgium,BEL,no data,11.1742,no data,no data,12.51252,11.84732,12.01315,11.70031,no data,11.89315,12.01019,12.16935,12.33788,no data
Benin,BEN,19.21395,18.79039,19.70961,14.94869,19.08858,18.17562,26.14396,no data,25.02131,22.34122,22.22771,17.47952,18.7914,no data
Burkina Faso,BFA,no data,19.49419,18.2017,17.86382,no data,no data,16.17282,19.50061,15.89538,16.16528,19.36811,18.02708,no data,no data
Bangladesh,BGD,15.95312,no data,17.33653,18.1534,17.81619,14.02987,no data,16.79397,15.59324,13.82282,no data,no data,11.41942,18.38782
Bulgaria,BGR,6.703,12.07252,12.01048,11.11392,12.61226,12.65675,11.16342,11.10005,10.69092,11.4398,no data,no data,no data,no data
Bahrain,BHR,no data,no data,11.91866,11.02673,10.55867,no data,no data,no data,8.28845,7.21531,8.68403,7.29736,no data,7.18035
"Bahamas, The",BHS,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Bosnia and Herzegovina,BIH,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Belarus,BLR,12.55235,12.62011,12.45032,10.13372,no data,8.44955,11.77813,11.62665,12.7523,12.27399,12.40672,11.46173,12.15878,12.28169
Belize,BLZ,16.24847,no data,no data,no data,18.05774,21.57314,22.3818,no data,no data,22.23905,22.15761,21.61292,20.55235,21.29523
Bermuda,BMU,11.11385,12.1054,no data,no data,no data,13.97043,12.93424,no data,no data,no data,7.79644,9.0188,no data,7.77347
Bolivia,BOL,no data,no data,21.1625,no data,19.92381,22.56084,24.12779,19.48311,17.82895,16.28364,16.8421,no data,no data,no data
Brazil,BRA,10.39439,11.25736,12.42332,13.21851,14.08216,14.72369,14.56035,15.269,15.72763,15.59253,15.63691,16.14928,no data,no data
Barbados,BRB,17.82022,17.50705,no data,16.62288,15.17194,15.54344,17.45378,no data,16.11518,14.84482,17.45106,no data,14.05526,12.87915
Brunei Darussalam,BRN,no data,no data,no data,no data,no data,no data,5.30208,9.18219,9.72642,no data,9.9846,no data,11.44195,no data
Bhutan,BTN,18.69831,22.84906,no data,no data,15.02172,14.13973,11.02578,11.28502,no data,16.16983,17.82422,26.35213,26.18062,24.04098
Botswana,BWA,no data,25.82353,no data,26.50779,no data,20.4774,no data,no data,no data,no data,no data,no data,no data,no data
Central African Republic,CAF,12.06446,9.68047,10.05424,9.86948,7.86,7.83693,6.47538,7.82546,no data,no data,no data,no data,no data,no data
Canada,CAN,no data,12.17807,no data,12.32856,12.00996,12.48364,12.33596,12.21914,no data,no data,no data,no data,no data,no data
Central Europe and the Baltics,CEB,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Switzerland,CHE,16.22231,15.8207,15.97005,15.67513,16.00964,15.64362,15.39088,15.5535,15.64387,15.209,15.4618,15.52784,15.52673,no data
Channel Islands,CHI,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Chile,CHL,17.02105,16.19909,16.23128,16.74641,17.40113,17.03561,17.84356,17.74974,no data,19.64569,19.92072,19.59405,21.15548,21.30323
China,CHN,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Cote d'Ivoire,CIV,22.10716,21.84569,20.01789,20.75588,21.52691,22.19011,22.77275,22.42686,20.85876,21.57473,21.76678,21.17322,22.51621,20.68033
Cameroon,CMR,20.84712,21.37761,20.31265,21.56822,15.58864,19.77979,18.75389,14.86777,15.17622,13.82495,12.92925,13.24399,12.69469,15.46863
"Congo, Dem. Rep.",COD,no data,no data,no data,no data,no data,no data,9.66111,no data,no data,16.27424,10.55392,11.73837,14.80865,11.71075
"Congo, Rep.",COG,8.56181,7.59782,no data,no data,no data,no data,24.7278,no data,no data,no data,6.55592,7.9504,no data,no data
Colombia,COL,15.43978,15.53561,13.76883,14.48145,14.67729,16.08117,16.41858,15.52914,15.51283,16.91362,15.77153,15.05302,16.21151,16.19191
Comoros,COM,no data,no data,no data,no data,29.23312,no data,no data,21.41487,18.49151,16.07073,18.89136,15.30809,no data,no data
